Borehole_ID,total_min_depth,total_max_depth,total_depth_range
359_U1467_A,0.0,31.866,31.866
359_U1467_B,0.0,616.999,616.999
359_U1467_C,0.016,707.403,707.3870000000001
359_U1467_D,1.5,201.18,199.68
359_U1468_A,0.0,846.962,846.962
359_U1469_A,93.0,153.205,60.20500000000001
359_U1469_B,122.0,141.85,19.849999999999994
359_U1470_A,0.0,166.756,166.756
359_U1470_B,198.0,324.8,126.80000000000001
359_U1471_A,0.0,681.3,681.3
359_U1471_B,0.0,6.54,6.54
359_U1471_C,0.0,179.063,179.063
359_U1471_D,1.0,57.056,56.056
359_U1471_E,596.3,999.939,403.639
359_U1472_A,0.0,249.048,249.048
360_U1473_A,9.5,789.555,780.055
361_U1474_A,0.0,254.004,254.004
361_U1474_B,0.0,146.922,146.922
361_U1474_C,0.0,2.719,2.719
361_U1474_D,0.0,124.61,124.61
361_U1474_E,105.5,218.145,112.64500000000001
361_U1474_F,0.0,238.148,238.148
361_U1474_H,0.0,9.627,9.627
361_U1475_A,0.0,1.35,1.35
361_U1475_B,0.0,244.038,244.038
361_U1475_C,0.0,275.223,275.223
361_U1475_D,0.0,143.136,143.136
361_U1475_E,0.0,276.987,276.987
361_U1475_F,20.0,133.559,113.559
361_U1476_A,0.0,224.34,224.34
361_U1476_B,0.0,148.642,148.642
361_U1476_C,0.0,5.564,5.564
361_U1476_D,1.0,229.155,228.155
361_U1476_E,0.0,235.009,235.009
361_U1477_A,0.0,180.898,180.898
361_U1477_B,0.0,174.585,174.585
361_U1477_C,1.0,119.021,118.021
361_U1478_A,0.0,248.374,248.374
361_U1478_B,1.0,246.669,245.669
361_U1478_C,0.0,248.36,248.36
361_U1478_D,0.0,216.099,216.099
361_U1479_A,0.0,0.8,0.8
361_U1479_B,0.05,300.905,300.85499999999996
361_U1479_C,1.0,295.418,294.418
361_U1479_D,0.0,103.068,103.068
361_U1479_E,90.0,276.602,186.60199999999998
361_U1479_F,0.0,9.357,9.357
361_U1479_G,0.0,9.152,9.152
361_U1479_H,0.0,85.73,85.73
361_U1479_I,0.0,63.469,63.469
362_U1480_A,0.0,5.879,5.879
362_U1480_B,0.0,9.665,9.665
362_U1480_C,0.0,9.367,9.367
362_U1480_E,0.0,99.636,99.636
362_U1480_F,98.0,805.662,707.662
362_U1480_G,759.6,1431.621,672.0210000000001
362_U1480_H,0.0,129.341,129.341
362_U1481_A,1149.725,1498.546,348.82100000000014
363_U1482_A,0.025,490.116,490.091
363_U1482_B,0.025,366.687,366.66200000000003
363_U1482_C,0.05,534.629,534.5790000000001
363_U1482_D,0.025,213.177,213.152
363_U1483_A,0.025,292.143,292.118
363_U1483_B,0.025,286.934,286.90900000000005
363_U1483_C,0.025,284.896,284.87100000000004
363_U1484_A,0.025,223.377,223.352
363_U1484_B,0.025,222.595,222.57
363_U1485_A,0.025,300.728,300.70300000000003
363_U1485_B,0.025,297.923,297.898
363_U1485_C,0.025,28.367,28.342000000000002
363_U1485_D,0.025,65.045,65.02
363_U1486_A,0.025,9.73,9.705
363_U1486_B,0.025,211.073,211.048
363_U1486_C,0.025,200.675,200.65
363_U1486_D,0.025,186.463,186.438
363_U1487_A,0.025,144.396,144.37099999999998
363_U1487_B,0.025,144.135,144.10999999999999
363_U1488_A,0.025,314.511,314.48600000000005
363_U1488_B,0.025,305.07,305.045
363_U1488_C,0.025,149.9,149.875
363_U1489_A,0.025,9.338,9.312999999999999
363_U1489_B,0.025,129.166,129.141
363_U1489_C,0.025,384.209,384.184
363_U1489_D,0.025,386.088,386.06300000000005
363_U1490_A,0.025,379.949,379.92400000000004
363_U1490_B,0.025,262.914,262.889
363_U1490_C,0.025,169.938,169.91299999999998
366_U1491_A,0.02,1.32,1.3
366_U1491_B,0.02,19.218,19.198
366_U1491_C,0.12,24.22,24.099999999999998
366_U1492_A,0.02,38.331,38.311
366_U1492_B,0.02,51.135,51.114999999999995
366_U1492_C,0.025,130.0,129.975
366_U1493_B,0.02,30.94,30.92
366_U1494_A,0.02,35.699,35.678999999999995
366_U1495_A,0.02,7.394,7.3740000000000006
366_U1495_B,0.42,10.6,10.18
366_U1496_A,0.02,37.857,37.836999999999996
366_U1496_B,0.02,35.219,35.199
366_U1496_C,0.02,106.481,106.461
366_U1497_A,0.02,34.53,34.51
366_U1497_B,0.02,23.66,23.64
366_U1498_A,0.02,162.8,162.78
366_U1498_B,19.22,240.38,221.16
367_U1499_A,0.02,650.52,650.5
367_U1499_B,655.02,1062.9,407.8800000000001
367_U1500_A,378.22,852.692,474.472
367_U1500_B,851.343,1527.276,675.9330000000001
368X_U1503_A,995.14,1705.81,710.67
368_U1501_A,0.02,9.523,9.503
368_U1501_B,0.02,9.609,9.589
368_U1501_C,0.02,457.685,457.665
368_U1501_D,433.52,643.54,210.01999999999998
368_U1502_A,375.02,750.469,375.44900000000007
368_U1502_B,727.72,920.938,193.21799999999996
368_U1504_A,17.52,163.68,146.16
368_U1504_B,88.22,196.26,108.03999999999999
368_U1505_A,0.02,0.32,0.3
368_U1505_C,0.02,480.12,480.1
368_U1505_D,0.02,184.6,184.57999999999998
369_U1512_A,0.025,701.103,701.078
369_U1513_A,0.025,284.628,284.603
369_U1513_B,0.025,98.326,98.30099999999999
369_U1513_D,95.025,756.649,661.624
369_U1513_E,685.225,770.27,85.04499999999996
369_U1514_A,0.025,253.778,253.753
369_U1514_C,195.625,515.545,319.91999999999996
369_U1515_A,0.029,512.791,512.7620000000001
369_U1516_A,0.025,223.516,223.49099999999999
369_U1516_C,205.625,540.078,334.453
369_U1516_D,458.025,477.518,19.492999999999995
371_U1506_A,0.02,305.635,305.615
371_U1507_A,0.02,420.264,420.244
371_U1507_B,376.02,855.62,479.6
371_U1508_A,0.02,209.88,209.85999999999999
371_U1508_B,186.72,496.893,310.173
371_U1508_C,278.04,701.795,423.75499999999994
371_U1509_A,0.14,689.542,689.402
371_U1510_A,0.04,478.207,478.167
371_U1510_B,0.04,66.327,66.28699999999999
371_U1511_A,0.04,7.367,7.327
371_U1511_B,19.84,560.652,540.812
372_U1517_C,0.03,187.353,187.323
374_U1521_A,0.025,647.979,647.9540000000001
374_U1522_A,0.025,695.484,695.4590000000001
374_U1523_A,0.025,42.4,42.375
374_U1523_B,46.725,155.497,108.77200000000002
374_U1523_E,0.025,130.262,130.237
374_U1524_A,0.025,290.3,290.27500000000003
374_U1524_C,278.725,436.973,158.248
374_U1525_A,0.025,208.201,208.176
375_U1518_C,0.04,4.514,4.474
375_U1518_E,0.04,174.541,174.501
375_U1518_F,197.74,492.241,294.501
375_U1519_C,108.04,635.572,527.532
375_U1519_D,0.04,22.436,22.396
375_U1519_E,0.04,85.757,85.717
375_U1520_C,646.04,1045.72,399.68000000000006
375_U1520_D,0.04,636.246,636.206
375_U1526_A,9.74,81.238,71.498
375_U1526_B,0.04,33.08,33.04
376_U1527_A,38.815,49.68,10.865000000000002
376_U1527_C,185.24,234.38,49.139999999999986
376_U1528_A,0.06,83.535,83.475
376_U1528_C,40.045,45.94,5.894999999999996
376_U1528_D,61.36,355.0,293.64
376_U1529_A,0.06,2.943,2.883
376_U1529_B,0.05,15.18,15.129999999999999
376_U1530_A,0.06,448.637,448.577
376_U1531_A,0.06,1.08,1.02
376_U1531_B,0.26,21.91,21.65
376_U1531_C,0.06,23.7,23.64
376_U1531_E,17.96,34.9,16.939999999999998
379_U1532_A,0.04,100.48,100.44
379_U1532_B,93.14,180.36,87.22000000000001
379_U1532_C,178.34,391.566,213.22599999999997
379_U1532_D,362.74,381.023,18.283000000000015
379_U1532_G,372.34,787.105,414.76500000000004
379_U1533_A,0.04,28.65,28.61
379_U1533_B,25.54,381.06,355.52
379_U1533_C,0.04,7.528,7.4879999999999995
379_U1533_D,0.04,39.493,39.453
