Lithology Subtype,Principal,mean,rsd,median,count,count_outliers,outlier_count_ratio %,kurtosis,skew
clastic,mudstone,45.85711218851932,0.20114512979325394,46.0,90134,373,0.4138283000865378,0.6861998328991166,0.2635213170761154
clastic,mudstone or tuff,41.49847792998478,0.15960459276941705,41.5,657,6,0.91324200913242,1.2999241157612555,-0.537710619853465
clastic,nannofossil clay,49.58524407733503,0.17996897496309722,48.78,55085,144,0.26141417808840883,0.07416688090168844,0.3039277443707695
clastic,nannofossil claystone,53.46112629852378,0.14629466505309366,55.3,3658,31,0.847457627118644,1.9086248236354608,-1.2791261975906738
clastic,nannofossil mud,38.624400737553785,0.08952459401200981,38.4,27659,269,0.972558660833725,2.417031967735104,0.3306529787095837
clastic,pebbly mud,39.869663549969346,0.20625887496516754,38.47,13048,94,0.7204169221336604,0.9916979450490633,0.7656901944308796
clastic,pebbly mudstone,29.545405405405408,0.15746602604073257,29.06,37,0,0.0,0.5987665550147048,-0.5725667013788861
clastic,pebbly sand,37.24444444444444,0.13813647855358266,37.8,9,0,0.0,-1.1876289662055861,-0.22779990789160515
clastic,pebbly sandstone,41.450602409638556,0.07224572119650458,41.4,83,1,1.2048192771084338,-0.1603979418986774,-0.18337187522005632
clastic,porcellanite,59.900000000000006,0.07178631051752922,59.900000000000006,2,0,0.0,-2.0,-2.50232012291783e-15
clastic,radiolarian clay,49.12802397098249,0.1815428849580665,47.6,6341,11,0.1734742154234348,-0.39233753162326757,-0.1416515779627878
clastic,radiolarian claystone,32.977310924369746,0.236126624867903,31.8,357,2,0.5602240896358543,0.412393369246419,-0.0040103544535205595
clastic,radiolarian mud,41.84367816091954,0.08487503043050366,41.8,87,2,2.2988505747126435,3.417084150242159,-1.2774438845071774
clastic,radiolarian sand,58.225,0.03219693666005612,58.4,8,0,0.0,-0.6919890168074114,0.13146922179642945
clastic,radiolarian sandstone,43.5,0.0,43.5,1,0,0.0,,
clastic,sand,36.21325479029483,0.16708117588726698,35.8,84285,1673,1.9849320756955569,6.442553007505802,-0.2974870702901757
clastic,sand and gravel,23.077237851662407,0.30993936985160303,24.0,391,0,0.0,-0.09032031758634229,-0.3981310824390933
clastic,sand-silt-clay,34.16924631578948,0.18651070281200804,35.0,2375,32,1.3473684210526315,3.0856890420612526,-0.6845208815221959
clastic,sand-silt-claystone,31.092215568862272,0.2643684953559863,29.3,167,1,0.5988023952095808,10.855845367018025,2.021794551528725
clastic,sandstone,35.161805207162004,0.2649345868784114,35.2,34683,310,0.8938096473776779,8.167993586374866,1.1691611060640148
clastic,sandstone or tuff,44.04950495049505,0.15898823715841984,44.8,202,1,0.49504950495049505,0.05674416709974439,-0.14597024241228343
clastic,sandy clay,36.60594167679223,0.1665761027703624,36.9,4115,39,0.9477521263669502,1.223728838319877,-0.11304696608298391
clastic,sandy claystone,33.51173806609547,0.21704622569869217,33.39,817,7,0.8567931456548348,0.2239505829706494,0.017793049862950213
clastic,sandy mud,39.042796591163935,0.12465663950254244,39.1,4459,28,0.6279434850863422,5.491459635846885,0.8181840356696344
clastic,sandy mud/mudstone to muddy sand/sandstone,39.419676175790286,0.10992080163492923,39.17,2594,54,2.081727062451812,2.205840986778645,-0.5983583756544858
clastic,sandy mudstone,27.205335570469796,0.1434600414865425,25.884999999999998,596,9,1.5100671140939597,1.7062148141836353,1.4560423815604022
clastic,sandy silt,36.14838814453918,0.15024767009186302,36.0,14778,109,0.7375828934903235,1.4316129297904663,-0.08508752721173544
clastic,sandy silt and silty sandstone,41.150000000000006,0.03523693803159172,41.150000000000006,2,0,0.0,-2.0,-7.28343449670037e-15
clastic,sandy silt to silty sand,36.4352,0.09240245127118918,36.67,25,0,0.0,-0.2973847494956461,-0.38960405719348434
clastic,sandy silt/siltstone to silty sand/sandstone,38.160000000000004,0.037519275250282626,38.7,3,0,0.0,-1.499999999999997,-0.5120940803468773
clastic,sandy siltstone,31.22079842519685,0.24353400320291185,32.0,6350,64,1.0078740157480315,0.9892210383133899,-0.665999873054129
clastic,silt,37.992792675800274,0.16965776176901232,37.9,30802,423,1.3732874488669566,10.170559616858913,-0.5357934610786989
clastic,siltstone,34.95734861666957,0.18339382510087404,35.2,22988,295,1.2832782321211067,1.5709259091048162,0.08888380113054846
clastic,siltstone or tuff,51.327777777777776,0.10768410668177866,50.8,18,0,0.0,-0.9679676149803731,-0.2772620099319226
clastic,silty clay,37.02498248736904,0.18245293780572408,37.1,260669,1419,0.5443685286704595,0.6213620152339354,0.022764919784798308
clastic,silty claystone,30.513067028756684,0.213470598617615,31.03,47502,162,0.34103827207275483,0.25018144478838744,0.1408560353544542
clastic,silty mud,38.70660003545785,0.12170692802468064,38.2,22562,153,0.6781313713323287,0.9202747033259047,0.31571345863648
clastic,silty mudstone,34.385,0.30200698310432067,32.66,324,5,1.5432098765432098,1.213428451765342,0.9467159201133298
clastic,silty sand,35.74223129724563,0.12945322508901905,35.8,34527,460,1.3322906710690186,5.141077441411287,-0.4776329198984063
clastic,silty sandstone,35.376543515993056,0.18060923126739414,36.4,16132,253,1.5683114306967518,6.332918043576118,-1.5752175495651923
clastic,very coarse sand,38.92295081967213,0.08519399336214112,39.2,61,1,1.639344262295082,2.083373310143325,-0.8900505681594828
clastic,very coarse sandstone,43.3,0.11352865779335292,44.349999999999994,4,0,0.0,-1.6125485055605824,-0.2959337852521276
clastic,very fine sand,35.609221894943545,0.12025001029597733,35.43,4074,31,0.7609229258713794,1.1876801997523838,-0.05338074507644604
clastic,very fine sandstone,39.33960784313725,0.20053133434315504,39.15,51,0,0.0,-1.0274756801180003,0.1777685170682839
evaporite,anhydrite rock,40.300000000000004,0.4493850647699048,40.5,14,0,0.0,-0.7205367766848871,0.18079652745311303
extrusive,agglomerate,34.09175438596491,0.17238093808796986,34.925,228,4,1.7543859649122806,0.973893393817145,-0.46475193617844146
extrusive,andesite,33.53634385201306,0.2824454076676538,32.9,919,1,0.1088139281828074,4.028787959640234,0.3875287017341106
extrusive,ash,40.7370430519381,0.20274996219183056,40.1,6527,26,0.3983453347632909,0.5833764904335594,0.3006813511541953
extrusive,ash/tuff,34.71239191995469,0.23115325181047905,33.4,5297,51,0.9628091372474986,1.6080256318930308,0.9536063541505466
extrusive,basalt,32.68372984432215,0.3064633223957774,33.7,93398,238,0.25482344375682564,0.051532687165506186,-0.19942064254568528
extrusive,basalt and claystone,31.058974358974357,0.15182343334660287,31.6,39,1,2.5641025641025643,1.116092725002395,-0.695606824198283
extrusive,basalt and mudstone,42.5,0.0,42.5,1,0,0.0,,
extrusive,boninite,37.46597547782185,0.2329613014072694,39.1,5546,20,0.36062026685899745,0.8491432676081687,-0.9214698545198323
extrusive,coarse ash,40.17941176470588,0.10640328288194353,39.7,34,1,2.9411764705882355,3.214236644890809,0.2279425835832586
extrusive,coarse tuff,26.469455875628714,0.22567878067298366,25.9,2187,29,1.3260173754000915,1.2232049978907424,0.5319259444392967
extrusive,dacite,24.091119592875316,0.375205165365017,23.24,393,4,1.0178117048346056,-0.09943048175568814,0.43136695477691717
extrusive,fine ash,39.464877161055504,0.14412588510600816,40.0,1099,16,1.4558689717925386,1.7554986266586203,-0.4436342848927006
extrusive,fine tuff,42.31939393939394,0.2809678957145863,46.18,33,0,0.0,-0.2459906414794455,-0.896805910029943
extrusive,hyaloclastite,28.961196264249416,0.30536180694412257,27.0,7281,24,0.3296250515039143,0.3048764132753874,0.5749923538981367
extrusive,lapilli ash,41.05663502109705,0.1368859416195192,41.2,948,7,0.7383966244725738,1.9101350872892153,-0.1457906381167979
extrusive,lapilli tephra,38.23901652892562,0.1784629880722942,39.385000000000005,1210,14,1.1570247933884297,1.0180804209762941,-0.6574014897731952
extrusive,lapilli tuff,36.31706046719571,0.2605232940396138,37.06,8947,42,0.4694310942215268,0.6365701558522203,-0.3472653411195783
extrusive,lapillistone,36.64115224433133,0.34325870397365543,36.504999999999995,4322,19,0.4396112910689496,0.18603907744359516,0.30610228733909767
